          resolution                    %
               1.000                0.008
               0.950                0.008
               0.900                0.006
               0.850                0.006
               0.800                0.004
               0.750                0.004
               0.700                0.003
               0.650                0.002
               0.600                0.002
               0.550                0.001
               0.500                0.001
               0.450                0.001
               0.400                0.001
               0.350                0.000
               0.300                0.000
               0.250                0.000
               0.200                0.000
               0.150                0.000
               0.100                0.000
               0.050                0.000

                 psi  %(resolution = 0.8)
