                 psi           resolution                    %
              45.000                0.900                0.006
              45.000                0.950                0.008
              45.000                0.850                0.006
              45.000                1.000                0.008
              45.000                0.800                0.004
              45.000                0.750                0.004
              45.000                0.700                0.003
              45.000                0.600                0.002
              45.000                0.650                0.002
              45.000                0.550                0.001
              45.000                0.450                0.001
              45.000                0.500                0.001
              45.000                0.400                0.001
              45.000                0.350                0.000
              45.000                0.300                0.000
              45.000                0.250                0.000
              45.000                0.150                0.000
              45.000                0.100                0.000
              45.000                0.200                0.000
              45.000                0.050                0.000

              87.135                0.800                0.004
              81.406                0.800                0.004
              90.000                0.800                0.004
              78.541                0.800                0.004
              84.270                0.800                0.004
              75.676                0.800                0.004
              69.946                0.800                0.004
              67.082                0.800                0.004
              72.811                0.800                0.004
              64.217                0.800                0.004
              58.487                0.800                0.004
              52.758                0.800                0.004
              49.893                0.800                0.004
              55.623                0.800                0.004
              61.352                0.800                0.004
              38.434                0.800                0.004
              41.299                0.800                0.004
              44.163                0.800                0.004
              35.569                0.800                0.004
              47.028                0.800                0.004
              32.704                0.800                0.004
              26.975                0.800                0.004
              21.245                0.800                0.004
              29.839                0.800                0.004
              24.110                0.800                0.004
              18.380                0.800                0.004
              12.651                0.800                0.004
              15.515                0.800                0.004
               6.921                0.800                0.004
               9.786                0.800                0.004
               4.056                0.800                0.004
               1.192                0.800                0.004
